trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,2,-38.76618609047285,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,-37,-411.9694757780631,"{0: 30, 1: 10, 2: 14, 3: 3, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-59,-341.51135308487375,"{0: 50, 1: 8, 2: 15, 3: 1, 4: 5}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,-39,-287.06287083810093,"{0: 35, 1: 9, 2: 10, 3: 0, 4: 5}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,-23,-165.7326218379937,"{0: 32, 1: 3, 2: 2, 3: 3, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,-100,-732.0029229437575,"{0: 68, 1: 24, 2: 20, 3: 1, 4: 12}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,-100,-563.2679374720921,"{0: 75, 1: 16, 2: 23, 3: 4, 4: 7}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,-56,-400.6483298568526,"{0: 45, 1: 11, 2: 11, 3: 3, 4: 6}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-97,-375.4205718692172,"{0: 73, 1: 18, 2: 21, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,-48,-350.1180833444346,"{0: 47, 1: 7, 2: 12, 3: 1, 4: 6}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-20,-78.49680934210099,"{0: 30, 1: 2, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-54,-138.83837332021292,"{0: 54, 1: 6, 2: 12, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,-100,-589.2109028213466,"{0: 75, 1: 12, 2: 26, 3: 5, 4: 7}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,6,-0.31669287898483933,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,-100,-667.8829694047071,"{0: 77, 1: 14, 2: 20, 3: 3, 4: 11}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,17,-20.765627900732806,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",35,-89,-815.0129517549697,"{0: 68, 1: 15, 2: 26, 3: 2, 4: 13}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,-17,-217.01190088079966,"{0: 29, 1: 4, 2: 11, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-1,-52.31081814546371,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,-100,-407.3856231654855,"{0: 75, 1: 17, 2: 23, 3: 0, 4: 5}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-100,-542.1565932758001,"{0: 74, 1: 19, 2: 15, 3: 4, 4: 8}",0
